Parameters:
Entities,Kingsway
Rooms,All
Classifications,All
Products,All
In Stock Only,No
Brands,All

Location,Product,Classification,SKU,In Stock Qty,Unit Type,Received Date,PackageId,BatchId,Expiration Date,Use By Date,Packaged Date,Unit Cost,Total Cost,Transfer In Qty,Transfer Out Qty,On Order Qty,Regular Price,Days In Stock,Room,Manufacturer,Supplier,Supplier SKU,Product State,Strain,THC %,CBD %
Kingsway,"1964 VARIETY PACK: BLUE DREAM, LEMON DIESEL, LA KUSH CAKE, COMATOSE (4 x 3.5g)",Dried Flower,6JGDWV2C,0.000,Each,12/13/2024,MXXVPD036,,,,,69.9200,0.0000,0.000,0.000,0.000,99.95,373,Default,,BCLDB,1066956,Active,,,
Kingsway,"1964 VARIETY PACK: COMATOSE, LA KUSH CAKE, STINKY PINKY, ROMULAN (4 x 3.5g)",Dried Flower,QT7QF8NU,0.000,Each,10/10/2024,MXXVPD033,,,,,69.9200,0.0000,0.000,0.000,0.000,89.95,437,Default,,BCLDB,1066956,Active,,,
Kingsway,"1964 VARIETY PACK: COMATOSE, LA KUSH CAKE, STINKY PINKY, ROMULAN (4 x 3.5g)",Dried Flower,QT7QF8NU,0.000,Each,03/11/2025,MXXVPD034,,,,,69.9200,0.0000,0.000,0.000,0.000,89.95,285,Default,,BCLDB,1066956,Active,,,
Kingsway,1964: BERRY BLITZ LIVE ROSIN GUMMIES (2pc),Rosin & Resin Gummies/Chews,8P3C0466,0.000,Each,05/05/2023,PG230328038,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,961,Default,,BCLDB,1062158,Active,,,
Kingsway,1964: BERRY BLITZ LIVE ROSIN GUMMIES (2pc),Rosin & Resin Gummies/Chews,8P3C0466,0.000,Each,11/17/2023,PG230816120,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,765,Default,,BCLDB,1062158,Active,,,
Kingsway,1964: BERRY BLITZ LIVE ROSIN GUMMIES (2pc),Rosin & Resin Gummies/Chews,8P3C0466,0.000,Each,02/16/2024,PG231108201,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,674,Default,,BCLDB,1062158,Active,,,
Kingsway,1964: BERRY BLITZ LIVE ROSIN GUMMIES (2pc),Rosin & Resin Gummies/Chews,8P3C0466,0.000,Each,03/22/2024,PG240109006,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,639,Default,,BCLDB,1062158,Active,,,
Kingsway,1964: BLUE DREAM CURED RESIN AIO VAPE (0.5g),Disposable Vapes,8ET4D2YU,11.000,Each,12/20/2025,BDRFEE007,,,,,20.9800,230.7800,0.000,0.000,0.000,29.95,1,Default,,BCLDB,1070643,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,10/15/2025,BDRFED001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,67,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,08/09/2024,BDRFED002,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,499,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,12/30/2024,BDRFED004,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,356,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,10/18/2024,BDRFED006,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,429,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,11/22/2024,BDRFED008,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,394,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,12/27/2024,BDRFED009,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,359,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,05/07/2025,BDRFED010,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,228,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,06/27/2025,BDRFEE001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,177,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,05/23/2025,BDRFEE002,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,212,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,09/19/2025,BDRFEE003,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,93,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,12/04/2025,BDRFEE005,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,17,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,5.000,Each,12/05/2025,BDRFEE006,,,,,27.9700,139.8500,0.000,0.000,0.000,44.95,16,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,Q1QHNGXN,0.000,Each,06/14/2024,MXALD030,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,555,Default,,BCLDB,1065809,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,05/24/2024,BDP1DMX3,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,576,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,08/22/2024,BDP1DMX4,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,486,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,12/06/2024,BDRP1DMX11,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,380,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,01/31/2025,BDRP1DMX14,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,324,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,03/06/2025,BDRP1DMX16,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,290,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,09/27/2024,BDRP1DMX9,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,450,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,04/25/2025,BDRP1EMX1,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,240,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,06/06/2025,BDRP1EMX5,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,198,Default,,BCLDB,1065792,Active,,,
Kingsway,1964: BLUE DREAM PRE-ROLL (1 x 1g),Pre-Rolls,2K44UHX0,0.000,Each,07/18/2025,BDRP1EMX7,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,156,Default,,BCLDB,1065792,Active,,,
